Agente;Fecha;Promedio por Break: 09:30:00 hasta 14:30:00;Promedio por Break: 15:00:00 hasta 20:00:00
MZA 1;2025-02-19;28.0;3.0
MZA 1;2025-02-20;43.0;6.0
MZA 10;2025-02-20;44.0;6.0
MZA 12;2025-02-19;0.0;0.0
MZA 12;2025-02-20;0.0;0.0
MZA 13;2025-02-19;0.0;0.0
MZA 13;2025-02-20;0.0;0.0
MZA 14;2025-02-19;0.0;0.0
MZA 14;2025-02-20;0.0;0.0
MZA 15;2025-02-19;0.0;0.0
MZA 15;2025-02-20;0.0;0.0
MZA 16;2025-02-19;Sin datos;0.0
MZA 16;2025-02-20;0.0;0.0
MZA 18;2025-02-19;0.0;0.0
MZA 18;2025-02-20;0.0;0.0
MZA 19;2025-02-20;0.0;0.0
MZA 2;2025-02-19;56.0;70.0
MZA 2;2025-02-20;58.0;17.0
MZA 20;2025-02-19;0.0;0.0
MZA 20;2025-02-20;0.0;0.0
MZA 21;2025-02-19;Sin datos;0.0
MZA 21;2025-02-20;Sin datos;0.0
MZA 22;2025-02-19;0.0;0.0
MZA 22;2025-02-20;0.0;0.0
MZA 23;2025-02-19;2.0;30.0
MZA 23;2025-02-20;16.0;11.0
MZA 25;2025-02-19;36.0;12.0
MZA 26;2025-02-19;Sin datos;0.0
MZA 26;2025-02-20;Sin datos;9.0
MZA 27;2025-02-19;Sin datos;52.0
MZA 27;2025-02-20;Sin datos;34.0
MZA 28;2025-02-19;56.0;27.0
MZA 28;2025-02-20;69.0;13.0
MZA 3;2025-02-19;26.0;4.0
MZA 3;2025-02-20;27.0;8.0
MZA 30;2025-02-19;Sin datos;31.0
MZA 30;2025-02-20;Sin datos;11.0
MZA 32;2025-02-19;46.0;55.0
MZA 32;2025-02-20;27.0;0.0
MZA 33;2025-02-19;0.0;0.0
MZA 33;2025-02-20;0.0;0.0
MZA 36;2025-02-19;Sin datos;25.0
MZA 36;2025-02-20;Sin datos;19.0
MZA 38;2025-02-19;Sin datos;77.0
MZA 38;2025-02-20;Sin datos;18.0
MZA 39;2025-02-19;54.0;51.0
MZA 39;2025-02-20;31.0;14.0
MZA 4;2025-02-19;14.0;0.0
MZA 4;2025-02-20;43.0;6.0
MZA 40;2025-02-19;71.0;38.0
MZA 40;2025-02-20;91.0;26.0
MZA 41;2025-02-19;0.0;0.0
MZA 41;2025-02-20;0.0;0.0
MZA 42;2025-02-19;Sin datos;0.0
MZA 42;2025-02-20;Sin datos;0.0
MZA 43;2025-02-19;0.0;0.0
MZA 43;2025-02-20;0.0;2.0
MZA 44;2025-02-19;0.0;0.0
MZA 44;2025-02-20;0.0;0.0
MZA 45;2025-02-19;0.0;0.0
MZA 45;2025-02-20;0.0;0.0
MZA 46;2025-02-19;Sin datos;0.0
MZA 46;2025-02-20;0.0;0.0
MZA 47;2025-02-19;Sin datos;0.0
MZA 47;2025-02-20;Sin datos;0.0
MZA 48;2025-02-19;Sin datos;0.0
MZA 49;2025-02-19;Sin datos;0.0
MZA 49;2025-02-20;0.0;0.0
MZA 5;2025-02-19;Sin datos;24.0
MZA 5;2025-02-20;141.0;3.0
MZA 50;2025-02-19;0.0;0.0
MZA 50;2025-02-20;0.0;0.0
MZA 6;2025-02-19;64.0;2.0
MZA 6;2025-02-20;23.0;5.0
MZA 7;2025-02-19;64.0;25.0
MZA 7;2025-02-20;65.0;10.0
MZA 8;2025-02-19;92.0;142.0
MZA 8;2025-02-20;55.0;3.0
MZA 9;2025-02-19;60.0;49.0
MZA 9;2025-02-20;63.0;5.0
Mza 51;2025-02-19;0.0;0.0
Mza 51;2025-02-20;0.0;0.0
